month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,remaining_lease,year,Date,_10Y_Treasury,S_P,STI
,SINGAPORE RIVER,,,,,,,,,,,,,,
,OUTRAM,,,,,,,,,,,,,,
,MARINA SOUTH,,,,,,,,,,,,,,
,RIVER VALLEY,,,,,,,,,,,,,,
,NEWTON,,,,,,,,,,,,,,
,DOWNTOWN CORE,,,,,,,,,,,,,,
,ORCHARD,,,,,,,,,,,,,,
,MARINA EAST,,,,,,,,,,,,,,
,ROCHOR,,,,,,,,,,,,,,
,MUSEUM,,,,,,,,,,,,,,
1.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,07 TO 09,29.0,IMPROVED,1969.0,7300.0,78.0,1990.0,1990-01,8.430000305,329.0799866,1515.0
1.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,07 TO 09,29.0,IMPROVED,1969.0,9000.0,78.0,1990.0,1990-01,8.430000305,329.0799866,1515.0
1.0,ANG MO KIO,1 ROOM,309.0,ANG MO KIO AVE 1,10 TO 12,31.0,IMPROVED,1977.0,8000.0,86.0,1990.0,1990-01,8.430000305,329.0799866,1515.0
1.0,BUKIT MERAH,1 ROOM,7.0,TELOK BLANGAH CRES,07 TO 09,31.0,IMPROVED,1975.0,9500.0,84.0,1990.0,1990-01,8.430000305,329.0799866,1515.0
1.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,10 TO 12,29.0,IMPROVED,1969.0,7300.0,78.0,1990.0,1990-01,8.430000305,329.0799866,1515.0
1.0,BUKIT MERAH,1 ROOM,7.0,TELOK BLANGAH CRES,07 TO 09,31.0,IMPROVED,1975.0,7300.0,84.0,1990.0,1990-01,8.430000305,329.0799866,1515.0
1.0,ANG MO KIO,1 ROOM,309.0,ANG MO KIO AVE 1,07 TO 09,31.0,IMPROVED,1977.0,6000.0,86.0,1990.0,1990-01,8.430000305,329.0799866,1515.0
1.0,ANG MO KIO,1 ROOM,309.0,ANG MO KIO AVE 1,10 TO 12,31.0,IMPROVED,1977.0,9000.0,86.0,1990.0,1990-01,8.430000305,329.0799866,1515.0
1.0,ANG MO KIO,1 ROOM,309.0,ANG MO KIO AVE 1,04 TO 06,31.0,IMPROVED,1977.0,6000.0,86.0,1990.0,1990-01,8.430000305,329.0799866,1515.0
2.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,04 TO 06,29.0,IMPROVED,1969.0,7300.0,78.0,1990.0,1990-02,8.510000229,331.8900146,1550.099976
2.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,07 TO 09,29.0,IMPROVED,1969.0,7300.0,78.0,1990.0,1990-02,8.510000229,331.8900146,1550.099976
2.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,07 TO 09,29.0,IMPROVED,1969.0,7300.0,78.0,1990.0,1990-02,8.510000229,331.8900146,1550.099976
2.0,BUKIT MERAH,1 ROOM,7.0,TELOK BLANGAH CRES,01 TO 03,31.0,IMPROVED,1975.0,8000.0,84.0,1990.0,1990-02,8.510000229,331.8900146,1550.099976
2.0,ANG MO KIO,1 ROOM,309.0,ANG MO KIO AVE 1,04 TO 06,31.0,IMPROVED,1977.0,8000.0,86.0,1990.0,1990-02,8.510000229,331.8900146,1550.099976
2.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,10 TO 12,29.0,IMPROVED,1969.0,7500.0,78.0,1990.0,1990-02,8.510000229,331.8900146,1550.099976
2.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,07 TO 09,29.0,IMPROVED,1969.0,7500.0,78.0,1990.0,1990-02,8.510000229,331.8900146,1550.099976
2.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,01 TO 03,29.0,IMPROVED,1969.0,7300.0,78.0,1990.0,1990-02,8.510000229,331.8900146,1550.099976
2.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,01 TO 03,28.0,IMPROVED,1969.0,10000.0,78.0,1990.0,1990-02,8.510000229,331.8900146,1550.099976
2.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,01 TO 03,28.0,IMPROVED,1969.0,7300.0,78.0,1990.0,1990-02,8.510000229,331.8900146,1550.099976
2.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,01 TO 03,28.0,IMPROVED,1969.0,7300.0,78.0,1990.0,1990-02,8.510000229,331.8900146,1550.099976
2.0,ANG MO KIO,1 ROOM,309.0,ANG MO KIO AVE 1,01 TO 03,31.0,IMPROVED,1977.0,8000.0,86.0,1990.0,1990-02,8.510000229,331.8900146,1550.099976
3.0,ANG MO KIO,1 ROOM,309.0,ANG MO KIO AVE 1,04 TO 06,31.0,IMPROVED,1977.0,7000.0,86.0,1990.0,1990-03,8.649999619,339.9400024,1581.099976
3.0,ANG MO KIO,1 ROOM,309.0,ANG MO KIO AVE 1,01 TO 03,31.0,IMPROVED,1977.0,5600.0,86.0,1990.0,1990-03,8.649999619,339.9400024,1581.099976
3.0,ANG MO KIO,1 ROOM,309.0,ANG MO KIO AVE 1,04 TO 06,31.0,IMPROVED,1977.0,9500.0,86.0,1990.0,1990-03,8.649999619,339.9400024,1581.099976
4.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,07 TO 09,29.0,IMPROVED,1969.0,7300.0,78.0,1990.0,1990-04,9.039999962,330.7999878,1458.400024
4.0,BUKIT MERAH,1 ROOM,7.0,TELOK BLANGAH CRES,01 TO 03,31.0,IMPROVED,1975.0,10200.0,84.0,1990.0,1990-04,9.039999962,330.7999878,1458.400024
4.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,10 TO 12,29.0,IMPROVED,1969.0,7000.0,78.0,1990.0,1990-04,9.039999962,330.7999878,1458.400024
5.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,01 TO 03,29.0,IMPROVED,1969.0,10400.0,78.0,1990.0,1990-05,8.600000381,361.230011,1553.599976
5.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,10 TO 12,29.0,IMPROVED,1969.0,6000.0,78.0,1990.0,1990-05,8.600000381,361.230011,1553.599976
5.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,07 TO 09,29.0,IMPROVED,1969.0,9200.0,78.0,1990.0,1990-05,8.600000381,361.230011,1553.599976
5.0,ANG MO KIO,1 ROOM,309.0,ANG MO KIO AVE 1,10 TO 12,31.0,IMPROVED,1977.0,7800.0,86.0,1990.0,1990-05,8.600000381,361.230011,1553.599976
5.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,07 TO 09,29.0,IMPROVED,1969.0,7300.0,78.0,1990.0,1990-05,8.600000381,361.230011,1553.599976
5.0,BUKIT MERAH,1 ROOM,7.0,TELOK BLANGAH CRES,04 TO 06,31.0,IMPROVED,1975.0,10000.0,84.0,1990.0,1990-05,8.600000381,361.230011,1553.599976
6.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,04 TO 06,29.0,IMPROVED,1969.0,7300.0,78.0,1990.0,1990-06,8.430000305,358.019989,1527.0
6.0,BUKIT MERAH,1 ROOM,7.0,TELOK BLANGAH CRES,01 TO 03,31.0,IMPROVED,1975.0,7500.0,84.0,1990.0,1990-06,8.430000305,358.019989,1527.0
6.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,01 TO 03,29.0,IMPROVED,1969.0,7300.0,78.0,1990.0,1990-06,8.430000305,358.019989,1527.0
6.0,ANG MO KIO,1 ROOM,309.0,ANG MO KIO AVE 1,07 TO 09,31.0,IMPROVED,1977.0,7000.0,86.0,1990.0,1990-06,8.430000305,358.019989,1527.0
7.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,04 TO 06,29.0,IMPROVED,1969.0,7000.0,78.0,1990.0,1990-07,8.359999657,356.1499939,1554.800049
7.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,01 TO 03,29.0,IMPROVED,1969.0,10400.0,78.0,1990.0,1990-07,8.359999657,356.1499939,1554.800049
7.0,ANG MO KIO,1 ROOM,309.0,ANG MO KIO AVE 1,04 TO 06,31.0,IMPROVED,1977.0,7000.0,86.0,1990.0,1990-07,8.359999657,356.1499939,1554.800049
7.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,07 TO 09,29.0,IMPROVED,1969.0,7300.0,78.0,1990.0,1990-07,8.359999657,356.1499939,1554.800049
7.0,BUKIT MERAH,1 ROOM,7.0,TELOK BLANGAH CRES,01 TO 03,31.0,IMPROVED,1975.0,5000.0,84.0,1990.0,1990-07,8.359999657,356.1499939,1554.800049
7.0,ANG MO KIO,1 ROOM,309.0,ANG MO KIO AVE 1,01 TO 03,31.0,IMPROVED,1977.0,9000.0,86.0,1990.0,1990-07,8.359999657,356.1499939,1554.800049
7.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,04 TO 06,29.0,IMPROVED,1969.0,7300.0,78.0,1990.0,1990-07,8.359999657,356.1499939,1554.800049
7.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,04 TO 06,29.0,IMPROVED,1969.0,8000.0,78.0,1990.0,1990-07,8.359999657,356.1499939,1554.800049
7.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,10 TO 12,29.0,IMPROVED,1969.0,7300.0,78.0,1990.0,1990-07,8.359999657,356.1499939,1554.800049
7.0,ANG MO KIO,1 ROOM,309.0,ANG MO KIO AVE 1,07 TO 09,31.0,IMPROVED,1977.0,8000.0,86.0,1990.0,1990-07,8.359999657,356.1499939,1554.800049
8.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,07 TO 09,29.0,IMPROVED,1969.0,7800.0,78.0,1990.0,1990-08,8.859999657,322.5599976,1277.900024
8.0,BUKIT MERAH,1 ROOM,7.0,TELOK BLANGAH CRES,10 TO 12,31.0,IMPROVED,1975.0,10000.0,84.0,1990.0,1990-08,8.859999657,322.5599976,1277.900024
8.0,BUKIT MERAH,1 ROOM,33.0,TAMAN HO SWEE,10 TO 12,29.0,IMPROVED,1969.0,7300.0,78.0,1990.0,1990-08,8.859999657,322.5599976,1277.900024
