Date,_10Y_Treasury,S_P,STI,month,year
1996-01,5.580999851,636.0200195,2449.199951,1,1996
2015-01,1.674999952,1994.98999,3391.199951,1,2015
1990-01,8.430000305,329.0799866,1515,1,1990
2002-01,5.025000095,1130.199951,1786.890015,1,2002
2001-01,5.178999901,1366.01001,1991.290039,1,2001
2009-01,2.844000101,825.8800049,1746.469971,1,2009
1997-01,6.502999783,786.1599731,2216.5,1,1997
1998-01,5.512000084,980.2800293,1259.900024,1,1998
2017-01,2.450999975,2278.870117,3046.800049,1,2017
1992-01,7.309999943,408.7799988,1529.699951,1,1992
2014-01,2.667999983,1782.589966,3027.219971,1,2014
2023-01,3.529000044,4076.600098,3365.669922,1,2023
1999-01,4.652999878,1279.640015,1428.140015,1,1999
2022-01,1.781999946,4515.549805,3249.590088,1,2022
2021-01,1.093000054,3714.23999,2902.52002,1,2021
2012-01,1.799000025,1312.410034,2906.689941,1,2012
2006-01,4.52699995,1280.079956,2412.080078,1,2006
2016-01,1.930999994,1940.23999,2629.110107,1,2016
2005-01,4.132999897,1181.27002,2096.320068,1,2005
2013-01,1.985000014,1498.109985,3282.659912,1,2013
2000-01,6.666999817,1394.459961,2230.280029,1,2000
2018-01,2.720000029,2823.810059,3533.98999,1,2018
2004-01,4.138000011,1131.130005,1848.359985,1,2004
2020-01,1.519999981,3225.52002,3153.72998,1,2020
2011-01,3.378000021,1286.119995,3179.719971,1,2011
1993-01,6.389999866,438.7799988,1620.199951,1,1993
2019-01,2.63499999,2704.100098,3190.169922,1,2019
1994-01,5.638000011,481.6099854,2339.100098,1,1994
2003-01,3.974999905,855.7000122,1291.439941,1,2003
1991-01,8.029999733,343.9299927,1267.300049,1,1991
2010-01,3.608999968,1073.869995,2745.350098,1,2010
1995-01,7.592999935,470.4200134,2083.399902,1,1995
2008-01,3.638999939,1378.550049,2981.75,1,2008
2007-01,4.826000214,1438.23999,3125.560059,1,2007
2010-02,3.595000029,1104.48999,2750.860107,2,2010
2013-02,1.888000011,1514.680054,3269.949951,2,2013
2014-02,2.657999992,1859.449951,3110.780029,2,2014
1998-02,5.616000175,1049.339966,1615.400024,2,1998
2019-02,2.710999966,2784.48999,3212.689941,2,2019
1999-02,5.271999836,1238.329956,1411.910034,2,1999
2004-02,3.983999968,1144.939941,1888.630005,2,2004
2022-02,1.838999987,4373.939941,3242.23999,2,2022
1995-02,7.210000038,487.3900146,2126.699951,2,1995
1992-02,7.269999981,412.7000122,1477.400024,2,1992
2001-02,4.907999992,1239.939941,1947.400024,2,2001
2016-02,1.74000001,1932.22998,2666.51001,2,2016
1997-02,6.534999847,790.8200073,2195.699951,2,1997
